"Year","OFL (mt)","ABC (mt)","ACL (mt)","Catch (mt)"
2014,"fill in","fill in","fill in",2204
2015,"fill in","fill in","fill in",2603
2016,"fill in","fill in","fill in",3163
2017,"fill in","fill in","fill in",3608
2018,"fill in","fill in","fill in",4146
2019,"fill in","fill in","fill in",3059
2020,"fill in","fill in","fill in",2154
2021,"fill in","fill in","fill in",3461
2022,"fill in","fill in","fill in",3523
2023,"fill in","fill in","fill in",3882
