"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 1+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2024,4924.5,4924.5,76373.6,28510.7,0.303845
2025,5048.66,5048.66,76755.4,32276.9,0.343982
2026,5212.48,5212.48,76956.2,35685.7,0.380311
2027,5348.75,5348.75,76993.6,37193.1,0.396375
2028,5403.55,5403.55,76932.8,36910.5,0.393364
